date,Date,month,year,state,positive,negative,positiveIncrease,death,deathConfirmed,deathProbable,probableCases,recovered,fips,hospitalizedCurrently,hospitalizedDischarged,inIcuCurrently,onVentilatorCurrently
20210307,07-03-2021,Mar,2021,AK,56886,,0,305,,,,,2,33,,,2
20210307,07-03-2021,Mar,2021,AL,499819,1931711,408,10148,7963,2185,107742,295690,1,494,,,
20210307,07-03-2021,Mar,2021,AR,324818,2480716,165,5319,4308,1011,69092,315517,5,335,,141,65
20210307,07-03-2021,Mar,2021,AS,0,2140,0,0,,,,,60,,,,
20210307,07-03-2021,Mar,2021,AZ,826454,3073010,1335,16328,14403,1925,56519,,4,963,118932,273,143
20210307,07-03-2021,Mar,2021,CA,3501394,,3816,54124,,,,,6,4291,,1159,
20210307,07-03-2021,Mar,2021,CO,436602,2199458,840,5989,5251,735,24786,,8,326,23003,,
20210307,07-03-2021,Mar,2021,CT,285330,,0,7704,6327,1377,19621,,9,428,,,
20210307,07-03-2021,Mar,2021,DC,41419,,146,1030,,,,29570,11,150,,38,16
20210307,07-03-2021,Mar,2021,DE,88354,545070,215,1473,1337,136,4733,,10,104,,13,
20210307,07-03-2021,Mar,2021,FL,1909209,9339038,4024,32266,,,360372,,12,3307,,,
20210307,07-03-2021,Mar,2021,GA,1023487,,1709,17906,15598,2308,195151,,13,2008,,,
20210307,07-03-2021,Mar,2021,GU,7749,112887,0,133,,,209,7590,66,2,,1,1
20210307,07-03-2021,Mar,2021,HI,28699,,53,445,445,,808,,15,27,,5,3
20210307,07-03-2021,Mar,2021,IA,282384,1044418,257,5558,,,,320054,19,167,,35,6
20210307,07-03-2021,Mar,2021,ID,172931,505964,104,1879,1652,227,33057,96017,16,150,,33,
20210307,07-03-2021,Mar,2021,IL,1198335,,1068,23014,20763,2251,,,17,1141,,255,112
20210307,07-03-2021,Mar,2021,IN,667262,2483156,746,12737,12310,427,,,18,656,434805,104,50
20210307,07-03-2021,Mar,2021,KS,295861,974686,0,4812,,,,,20,235,6473,50,22
20210307,07-03-2021,Mar,2021,KY,410709,,525,4819,4369,450,96324,48145,21,558,,156,82
20210307,07-03-2021,Mar,2021,LA,433785,5261679,740,9748,9033,715,61271,415954,22,532,,,75
20210307,07-03-2021,Mar,2021,MA,591356,4404792,1425,16417,16085,332,32273,508745,25,665,,174,116
20210307,07-03-2021,Mar,2021,MD,387319,3034546,709,7955,7773,182,,9703,24,818,,215,
20210307,07-03-2021,Mar,2021,ME,45794,,159,706,683,23,9948,12840,23,67,,16,8
20210307,07-03-2021,Mar,2021,MI,656072,,0,16658,15666,992,60018,549881,26,866,,222,97
20210307,07-03-2021,Mar,2021,MN,490011,3058514,895,6550,6276,274,24464,476055,27,224,,57,
20210307,07-03-2021,Mar,2021,MO,480643,1878583,291,8161,,,,,29,955,,197,135
20210307,07-03-2021,Mar,2021,MP,145,17429,1,2,2,,,29,69,,,,
20210307,07-03-2021,Mar,2021,MS,297581,1459374,260,6808,4737,2071,113303,278162,28,419,,89,47
20210307,07-03-2021,Mar,2021,MT,100914,,72,1381,,,5524,97943,30,63,,12,6
20210307,07-03-2021,Mar,2021,NC,872176,,0,11502,10169,1333,112559,,37,1179,819839,309,
20210307,07-03-2021,Mar,2021,ND,100391,305912,34,1478,,,5463,98326,38,23,,3,
20210307,07-03-2021,Mar,2021,NE,203026,771128,373,2113,,,,157144,31,137,,,
20210307,07-03-2021,Mar,2021,NH,76861,579582,166,1184,,,22797,73615,33,68,,,
20210307,07-03-2021,Mar,2021,NJ,812609,10186941,2519,23574,21177,2397,91670,,34,1792,77193,376,232
20210307,07-03-2021,Mar,2021,NM,186922,,180,3808,,,,156554,35,169,,,
20210307,07-03-2021,Mar,2021,NV,296190,1131758,730,5037,,,,,32,399,,87,48
20210307,07-03-2021,Mar,2021,NY,1681169,,6789,39029,,,,,36,4789,150100,999,682
20210307,07-03-2021,Mar,2021,OH,978471,,735,17656,14752,2594,142113,925655,39,820,,260,171
20210307,07-03-2021,Mar,2021,OK,428997,3146300,461,4534,,,,412177,40,346,,100,
20210307,07-03-2021,Mar,2021,OR,157079,,195,2296,,,,,41,158,,32,12
20210307,07-03-2021,Mar,2021,PA,948643,3942124,1658,24349,,,134103,861756,42,1587,,314,183
20210307,07-03-2021,Mar,2021,PR,101632,305972,305,2062,1752,310,8012,91987,72,134,,21,19
20210307,07-03-2021,Mar,2021,RI,128781,677570,265,2547,,,,,44,141,7865,25,16
20210307,07-03-2021,Mar,2021,SC,525865,4657179,1408,8754,7744,1010,75888,218863,45,579,,137,83
20210307,07-03-2021,Mar,2021,SD,113589,314540,211,1900,,,12899,109531,46,72,,9,6
20210307,07-03-2021,Mar,2021,TN,782206,,0,11543,9278,2265,128301,756793,47,851,,218,127
20210307,07-03-2021,Mar,2021,TX,2686818,,2953,44451,,,365961,2502609,48,4721,,1463,
20210307,07-03-2021,Mar,2021,UT,374850,1560293,412,1976,,,,358958,49,212,,73,
20210307,07-03-2021,Mar,2021,VA,585700,,1163,9596,8104,1492,124528,,51,1127,48428,258,168
20210307,07-03-2021,Mar,2021,VI,2714,46167,0,25,25,,,2559,78,,,,
20210307,07-03-2021,Mar,2021,VT,16083,320060,119,208,,,448,13384,50,31,,1,
20210307,07-03-2021,Mar,2021,WA,344532,,664,5041,,,19479,,53,431,,98,43
20210307,07-03-2021,Mar,2021,WI,621654,2647864,377,7106,6481,625,54961,553203,55,249,,66,
20210307,07-03-2021,Mar,2021,WV,133445,,155,2325,1981,344,26816,125383,54,179,,40,26
20210307,07-03-2021,Mar,2021,WY,54764,182264,0,682,,,8367,53550,56,21,,,
20210306,06-03-2021,Mar,2021,AK,56886,,0,305,,,,,2,33,,,2
20210306,06-03-2021,Mar,2021,AL,499411,1929624,524,10149,7963,2186,107594,295690,1,526,,,
20210306,06-03-2021,Mar,2021,AR,324653,2477449,327,5297,4302,995,69040,315181,5,345,,148,75
20210306,06-03-2021,Mar,2021,AS,0,2140,0,0,,,,,60,,,,
20210306,06-03-2021,Mar,2021,AZ,825119,3059332,1735,16323,14395,1928,56362,,4,966,118674,280,140
20210306,06-03-2021,Mar,2021,CA,3497578,,4452,53866,,,,,6,4513,,1221,
20210306,06-03-2021,Mar,2021,CO,435762,2199458,1108,5986,5251,735,24786,,8,326,23003,,
20210306,06-03-2021,Mar,2021,CT,285330,,0,7704,6327,1377,19621,,9,428,,,
20210306,06-03-2021,Mar,2021,DC,41273,,151,1030,,,,29470,11,150,,40,15
20210306,06-03-2021,Mar,2021,DE,88139,544153,265,1464,1328,136,4715,,10,114,,12,
20210306,06-03-2021,Mar,2021,FL,1905185,9319872,4587,32200,,,359542,,12,3352,,,
20210306,06-03-2021,Mar,2021,GA,1021778,,2269,17905,15597,2308,194381,,13,2071,,,
20210306,06-03-2021,Mar,2021,GU,7749,112887,1,133,,,209,7590,66,2,,1,1
20210306,06-03-2021,Mar,2021,HI,28646,,85,444,444,,808,,15,27,,5,3
20210306,06-03-2021,Mar,2021,IA,282127,1043119,362,5552,,,,319780,19,170,,38,10
20210306,06-03-2021,Mar,2021,ID,172827,505429,240,1876,1649,227,32814,95808,16,150,,33,
20210306,06-03-2021,Mar,2021,IL,1197267,,2565,23002,20750,2252,,,17,1210,,261,108
20210306,06-03-2021,Mar,2021,IN,666516,2478513,1231,12726,12299,427,,,18,663,434718,118,60
20210306,06-03-2021,Mar,2021,KS,295861,974686,0,4812,,,,,20,235,6473,50,22
20210306,06-03-2021,Mar,2021,KY,410184,,839,4806,4356,450,96186,48131,21,591,,171,72
20210306,06-03-2021,Mar,2021,LA,433045,5241101,0,9716,9007,709,61051,415954,22,538,,,77
20210306,06-03-2021,Mar,2021,MA,589931,4396764,1722,16374,16044,330,32129,508745,25,687,,176,114
20210306,06-03-2021,Mar,2021,MD,386610,3032496,932,7941,7759,182,,9703,24,830,,230,
20210306,06-03-2021,Mar,2021,ME,45635,,183,704,681,23,9876,12838,23,74,,20,9
20210306,06-03-2021,Mar,2021,MI,656072,,1692,16658,15666,992,60018,549881,26,866,,222,97
20210306,06-03-2021,Mar,2021,MN,489116,3050296,946,6546,6272,274,24349,475170,27,224,,57,
20210306,06-03-2021,Mar,2021,MO,480352,1875633,386,8161,,,,,29,1001,,198,136
20210306,06-03-2021,Mar,2021,MP,144,17429,0,2,2,,,29,69,,,,
20210306,06-03-2021,Mar,2021,MS,297321,1459374,576,6805,4734,2071,113164,278162,28,419,,89,47
20210306,06-03-2021,Mar,2021,MT,100842,,186,1381,,,5506,97801,30,63,,12,6
20210306,06-03-2021,Mar,2021,NC,872176,,2027,11502,10169,1333,112559,,37,1179,819839,309,
20210306,06-03-2021,Mar,2021,ND,100357,306021,79,1478,,,5451,98240,38,21,,3,
20210306,06-03-2021,Mar,2021,NE,202653,770586,343,2113,,,,156825,31,136,,,
20210306,06-03-2021,Mar,2021,NH,76695,579186,273,1181,,,22756,73327,33,90,,,
20210306,06-03-2021,Mar,2021,NJ,810090,10186941,3720,23557,21160,2397,91217,,34,1862,76932,382,233
20210306,06-03-2021,Mar,2021,NM,186742,,282,3796,,,,155000,35,148,,,
20210306,06-03-2021,Mar,2021,NV,295460,1129929,0,5036,,,,,32,399,,87,48
20210306,06-03-2021,Mar,2021,NY,1674380,,7647,38970,,,,,36,4954,149481,1012,694
20210306,06-03-2021,Mar,2021,OH,977736,,1506,17656,14752,2594,141880,923986,39,922,,273,188
20210306,06-03-2021,Mar,2021,OK,428536,3146300,978,4534,,,,411624,40,346,,100,
20210306,06-03-2021,Mar,2021,OR,156884,,211,2293,,,,,41,158,,32,12
20210306,06-03-2021,Mar,2021,PA,946985,3935532,2789,24317,,,133926,859218,42,1513,,314,171
20210306,06-03-2021,Mar,2021,PR,101327,305972,261,2059,1749,310,7991,91987,72,147,,24,18
20210306,06-03-2021,Mar,2021,RI,128516,676149,395,2547,,,,,44,141,7865,25,16
20210306,06-03-2021,Mar,2021,SC,524457,4631323,1199,8719,7711,1008,75306,218863,45,623,,157,86
20210306,06-03-2021,Mar,2021,SD,113378,314016,149,1898,,,12845,109371,46,74,,10,7
20210306,06-03-2021,Mar,2021,TN,782206,,1312,11543,9278,2265,128301,756793,47,879,,223,127
20210306,06-03-2021,Mar,2021,TX,2683865,,5570,44367,,,365343,2491753,48,4921,,1503,
20210306,06-03-2021,Mar,2021,UT,374438,1557089,570,1975,,,,358249,49,216,,77,
20210306,06-03-2021,Mar,2021,VA,584537,,1477,9519,8090,1429,124264,,51,1164,48386,263,160
20210306,06-03-2021,Mar,2021,VI,2714,46167,0,25,25,,,2559,78,,,,
20210306,06-03-2021,Mar,2021,VT,15964,319417,145,208,,,445,13305,50,26,,2,
20210306,06-03-2021,Mar,2021,WA,343868,,778,5041,,,19399,,53,431,,98,30
20210306,06-03-2021,Mar,2021,WI,621277,2644343,614,7102,6478,624,54913,552642,55,260,,77,
20210306,06-03-2021,Mar,2021,WV,133290,,326,2323,1979,344,26777,124983,54,196,,56,27
20210306,06-03-2021,Mar,2021,WY,54764,182264,0,682,,,8367,53550,56,21,,,
20210305,05-03-2021,Mar,2021,AK,56886,,141,305,,,,,2,33,,,2
20210305,05-03-2021,Mar,2021,AL,498887,1924758,811,10122,7943,2179,107518,295690,1,526,,,
20210305,05-03-2021,Mar,2021,AR,324326,2472738,570,5283,4291,992,68961,314732,5,359,,153,86
20210305,05-03-2021,Mar,2021,AS,0,2140,0,0,,,,,60,,,,
20210305,05-03-2021,Mar,2021,AZ,823384,3050890,2276,16269,14339,1930,55824,,4,1043,118391,325,154
20210305,05-03-2021,Mar,2021,CA,3493126,,4659,53448,,,,,6,4714,,1236,
20210305,05-03-2021,Mar,2021,CO,434654,2193953,1633,5986,5250,736,24600,,8,356,22933,,
20210305,05-03-2021,Mar,2021,CT,285330,,830,7704,6327,1377,19621,,9,428,,,
20210305,05-03-2021,Mar,2021,DC,41122,,108,1027,,,,29417,11,160,,45,19
20210305,05-03-2021,Mar,2021,DE,87874,542791,231,1453,1317,136,4687,,10,127,,15,
20210305,05-03-2021,Mar,2021,FL,1900598,9296590,5876,32093,,,358198,,12,3419,,,
20210305,05-03-2021,Mar,2021,GA,1019509,,2081,17815,15526,2289,193392,,13,2099,,,
20210305,05-03-2021,Mar,2021,GU,7748,112887,1,133,,,209,7590,66,2,,1,1
20210305,05-03-2021,Mar,2021,HI,28561,,95,443,443,,808,,15,28,,5,3
20210305,05-03-2021,Mar,2021,IA,281765,1041604,374,5549,,,,318996,19,176,,39,9
20210305,05-03-2021,Mar,2021,ID,172587,504925,299,1876,1649,227,32716,95524,16,139,,32,
